"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Slovenia (SI)","Generation - Solar  [MW] Intraday / Slovenia (SI)","Generation - Solar  [MW] Current / Slovenia (SI)"
"08.03.2022 15:00 - 08.03.2022 16:00","60","N/A","57"
"08.03.2022 16:00 - 08.03.2022 17:00","29","N/A","28"
"08.03.2022 17:00 - 08.03.2022 18:00","4","N/A","4"
"08.03.2022 18:00 - 08.03.2022 19:00","0","N/A","0"
"08.03.2022 19:00 - 08.03.2022 20:00","0","N/A","0"
"08.03.2022 20:00 - 08.03.2022 21:00","0","N/A","0"
"08.03.2022 21:00 - 08.03.2022 22:00","0","N/A","0"
"08.03.2022 22:00 - 08.03.2022 23:00","0","N/A","0"
"08.03.2022 23:00 - 09.03.2022 00:00","0","N/A","0"
"09.03.2022 00:00 - 09.03.2022 01:00","0","N/A","0"
"09.03.2022 01:00 - 09.03.2022 02:00","0","N/A","0"
"09.03.2022 02:00 - 09.03.2022 03:00","0","N/A","0"
"09.03.2022 03:00 - 09.03.2022 04:00","0","N/A","0"
"09.03.2022 04:00 - 09.03.2022 05:00","0","N/A","0"
"09.03.2022 05:00 - 09.03.2022 06:00","0","N/A","0"
"09.03.2022 06:00 - 09.03.2022 07:00","1","N/A","1"
"09.03.2022 07:00 - 09.03.2022 08:00","18","N/A","18"
"09.03.2022 08:00 - 09.03.2022 09:00","49","N/A","54"
"09.03.2022 09:00 - 09.03.2022 10:00","80","N/A","93"
"09.03.2022 10:00 - 09.03.2022 11:00","110","N/A","129"
"09.03.2022 11:00 - 09.03.2022 12:00","126","N/A","147"
"09.03.2022 12:00 - 09.03.2022 13:00","128","N/A","142"
"09.03.2022 13:00 - 09.03.2022 14:00","120","N/A","125"
"09.03.2022 14:00 - 09.03.2022 15:00","101","N/A","104"
"09.03.2022 15:00 - 09.03.2022 16:00","68","N/A","69"
"09.03.2022 16:00 - 09.03.2022 17:00","31","N/A","33"
"09.03.2022 17:00 - 09.03.2022 18:00","5","N/A","5"
"09.03.2022 18:00 - 09.03.2022 19:00","0","N/A","0"
"09.03.2022 19:00 - 09.03.2022 20:00","0","N/A","0"
"09.03.2022 20:00 - 09.03.2022 21:00","0","N/A","0"
"09.03.2022 21:00 - 09.03.2022 22:00","0","N/A","0"
"09.03.2022 22:00 - 09.03.2022 23:00","0","N/A","0"
"09.03.2022 23:00 - 10.03.2022 00:00","0","N/A","0"
"10.03.2022 00:00 - 10.03.2022 01:00","0","N/A","0"
"10.03.2022 01:00 - 10.03.2022 02:00","0","N/A","0"
"10.03.2022 02:00 - 10.03.2022 03:00","0","N/A","0"
"10.03.2022 03:00 - 10.03.2022 04:00","0","N/A","4"
"10.03.2022 04:00 - 10.03.2022 05:00","0","N/A","4"
"10.03.2022 05:00 - 10.03.2022 06:00","0","N/A","4"
"10.03.2022 06:00 - 10.03.2022 07:00","2","N/A","8"
"10.03.2022 07:00 - 10.03.2022 08:00","21","N/A","30"
"10.03.2022 08:00 - 10.03.2022 09:00","56","N/A","70"
"10.03.2022 09:00 - 10.03.2022 10:00","88","N/A","102"
"10.03.2022 10:00 - 10.03.2022 11:00","117","N/A","130"
"10.03.2022 11:00 - 10.03.2022 12:00","120","N/A","135"
"10.03.2022 12:00 - 10.03.2022 13:00","115","N/A","130"
"10.03.2022 13:00 - 10.03.2022 14:00","109","N/A","121"
"10.03.2022 14:00 - 10.03.2022 15:00","93","N/A","103"
"10.03.2022 15:00 - 10.03.2022 16:00","67","N/A","75"
"10.03.2022 16:00 - 10.03.2022 17:00","32","N/A","38"
"10.03.2022 17:00 - 10.03.2022 18:00","5","N/A","10"
"10.03.2022 18:00 - 10.03.2022 19:00","0","N/A","4"
"10.03.2022 19:00 - 10.03.2022 20:00","0","N/A","4"
"10.03.2022 20:00 - 10.03.2022 21:00","0","N/A","4"
"10.03.2022 21:00 - 10.03.2022 22:00","0","N/A","4"
"10.03.2022 22:00 - 10.03.2022 23:00","0","N/A","4"
"10.03.2022 23:00 - 11.03.2022 00:00","0","N/A","3"
"11.03.2022 00:00 - 11.03.2022 01:00","0","N/A","0"
"11.03.2022 01:00 - 11.03.2022 02:00","0","N/A","0"
"11.03.2022 02:00 - 11.03.2022 03:00","0","N/A","0"
"11.03.2022 03:00 - 11.03.2022 04:00","4","N/A","0"
"11.03.2022 04:00 - 11.03.2022 05:00","4","N/A","0"
"11.03.2022 05:00 - 11.03.2022 06:00","4","N/A","0"
"11.03.2022 06:00 - 11.03.2022 07:00","8","N/A","2"
"11.03.2022 07:00 - 11.03.2022 08:00","29","N/A","24"
"11.03.2022 08:00 - 11.03.2022 09:00","68","N/A","62"
"11.03.2022 09:00 - 11.03.2022 10:00","103","N/A","98"
"11.03.2022 10:00 - 11.03.2022 11:00","135","N/A","130"
"11.03.2022 11:00 - 11.03.2022 12:00","152","N/A","144"
"11.03.2022 12:00 - 11.03.2022 13:00","160","N/A","150"
"11.03.2022 13:00 - 11.03.2022 14:00","152","N/A","140"
"11.03.2022 14:00 - 11.03.2022 15:00","127","N/A","121"
"11.03.2022 15:00 - 11.03.2022 16:00","92","N/A","86"
"11.03.2022 16:00 - 11.03.2022 17:00","45","N/A","40"
"11.03.2022 17:00 - 11.03.2022 18:00","12","N/A","6"
"11.03.2022 18:00 - 11.03.2022 19:00","4","N/A","0"
"11.03.2022 19:00 - 11.03.2022 20:00","4","N/A","0"
"11.03.2022 20:00 - 11.03.2022 21:00","5","N/A","0"
"11.03.2022 21:00 - 11.03.2022 22:00","5","N/A","0"
"11.03.2022 22:00 - 11.03.2022 23:00","4","N/A","0"
"11.03.2022 23:00 - 12.03.2022 00:00","3","N/A","0"
"12.03.2022 00:00 - 12.03.2022 01:00","0","N/A","0"
"12.03.2022 01:00 - 12.03.2022 02:00","0","N/A","0"
"12.03.2022 02:00 - 12.03.2022 03:00","0","N/A","0"
"12.03.2022 03:00 - 12.03.2022 04:00","0","N/A","0"
"12.03.2022 04:00 - 12.03.2022 05:00","0","N/A","0"
"12.03.2022 05:00 - 12.03.2022 06:00","0","N/A","0"
"12.03.2022 06:00 - 12.03.2022 07:00","2","N/A","2"
"12.03.2022 07:00 - 12.03.2022 08:00","29","N/A","29"
"12.03.2022 08:00 - 12.03.2022 09:00","73","N/A","73"
"12.03.2022 09:00 - 12.03.2022 10:00","112","N/A","112"
"12.03.2022 10:00 - 12.03.2022 11:00","146","N/A","146"
"12.03.2022 11:00 - 12.03.2022 12:00","162","N/A","163"
"12.03.2022 12:00 - 12.03.2022 13:00","164","N/A","165"
"12.03.2022 13:00 - 12.03.2022 14:00","147","N/A","147"
"12.03.2022 14:00 - 12.03.2022 15:00","120","N/A","120"
"12.03.2022 15:00 - 12.03.2022 16:00","85","N/A","85"
"12.03.2022 16:00 - 12.03.2022 17:00","40","N/A","40"
"12.03.2022 17:00 - 12.03.2022 18:00","7","N/A","7"
"12.03.2022 18:00 - 12.03.2022 19:00","0","N/A","0"
"12.03.2022 19:00 - 12.03.2022 20:00","0","N/A","0"
"12.03.2022 20:00 - 12.03.2022 21:00","0","N/A","0"
"12.03.2022 21:00 - 12.03.2022 22:00","0","N/A","0"
"12.03.2022 22:00 - 12.03.2022 23:00","0","N/A","0"
"12.03.2022 23:00 - 13.03.2022 00:00","0","N/A","0"
"13.03.2022 00:00 - 13.03.2022 01:00","0","N/A","0"
"13.03.2022 01:00 - 13.03.2022 02:00","0","N/A","0"
"13.03.2022 02:00 - 13.03.2022 03:00","0","N/A","0"
"13.03.2022 03:00 - 13.03.2022 04:00","0","N/A","0"
"13.03.2022 04:00 - 13.03.2022 05:00","0","N/A","0"
"13.03.2022 05:00 - 13.03.2022 06:00","0","N/A","0"
"13.03.2022 06:00 - 13.03.2022 07:00","3","N/A","3"
"13.03.2022 07:00 - 13.03.2022 08:00","29","N/A","30"
"13.03.2022 08:00 - 13.03.2022 09:00","74","N/A","75"
"13.03.2022 09:00 - 13.03.2022 10:00","114","N/A","116"
"13.03.2022 10:00 - 13.03.2022 11:00","146","N/A","148"
"13.03.2022 11:00 - 13.03.2022 12:00","162","N/A","164"
"13.03.2022 12:00 - 13.03.2022 13:00","163","N/A","167"
"13.03.2022 13:00 - 13.03.2022 14:00","152","N/A","155"
"13.03.2022 14:00 - 13.03.2022 15:00","122","N/A","127"
"13.03.2022 15:00 - 13.03.2022 16:00","89","N/A","89"
"13.03.2022 16:00 - 13.03.2022 17:00","43","N/A","43"
"13.03.2022 17:00 - 13.03.2022 18:00","7","N/A","7"
"13.03.2022 18:00 - 13.03.2022 19:00","0","N/A","0"
"13.03.2022 19:00 - 13.03.2022 20:00","0","N/A","0"
"13.03.2022 20:00 - 13.03.2022 21:00","0","N/A","0"
"13.03.2022 21:00 - 13.03.2022 22:00","0","N/A","0"
"13.03.2022 22:00 - 13.03.2022 23:00","0","N/A","0"
"13.03.2022 23:00 - 14.03.2022 00:00","0","N/A","0"
"14.03.2022 00:00 - 14.03.2022 01:00","0","N/A","0"
"14.03.2022 01:00 - 14.03.2022 02:00","0","N/A","0"
"14.03.2022 02:00 - 14.03.2022 03:00","0","N/A","0"
"14.03.2022 03:00 - 14.03.2022 04:00","0","N/A","0"
"14.03.2022 04:00 - 14.03.2022 05:00","0","N/A","0"
"14.03.2022 05:00 - 14.03.2022 06:00","0","N/A","0"
"14.03.2022 06:00 - 14.03.2022 07:00","3","N/A","3"
"14.03.2022 07:00 - 14.03.2022 08:00","31","N/A","30"
"14.03.2022 08:00 - 14.03.2022 09:00","77","N/A","72"
"14.03.2022 09:00 - 14.03.2022 10:00","112","N/A","111"
"14.03.2022 10:00 - 14.03.2022 11:00","135","N/A","135"
"14.03.2022 11:00 - 14.03.2022 12:00","143","N/A","143"
"14.03.2022 12:00 - 14.03.2022 13:00","144","N/A","153"
"14.03.2022 13:00 - 14.03.2022 14:00","137","N/A","149"
"14.03.2022 14:00 - 14.03.2022 15:00","119","N/A","129"
"14.03.2022 15:00 - 14.03.2022 16:00","90","N/A","94"
"14.03.2022 16:00 - 14.03.2022 17:00","44","N/A","46"
"14.03.2022 17:00 - 14.03.2022 18:00","8","N/A","8"
"14.03.2022 18:00 - 14.03.2022 19:00","0","N/A","0"
"14.03.2022 19:00 - 14.03.2022 20:00","0","N/A","0"
"14.03.2022 20:00 - 14.03.2022 21:00","0","N/A","0"
"14.03.2022 21:00 - 14.03.2022 22:00","0","N/A","0"
"14.03.2022 22:00 - 14.03.2022 23:00","0","N/A","0"
"14.03.2022 23:00 - 15.03.2022 00:00","0","N/A","0"
"15.03.2022 00:00 - 15.03.2022 01:00","0","N/A","0"
"15.03.2022 01:00 - 15.03.2022 02:00","0","N/A","0"
"15.03.2022 02:00 - 15.03.2022 03:00","0","N/A","0"
"15.03.2022 03:00 - 15.03.2022 04:00","0","N/A","0"
"15.03.2022 04:00 - 15.03.2022 05:00","0","N/A","0"
"15.03.2022 05:00 - 15.03.2022 06:00","0","N/A","0"
"15.03.2022 06:00 - 15.03.2022 07:00","3","N/A","3"
"15.03.2022 07:00 - 15.03.2022 08:00","20","N/A","21"
"15.03.2022 08:00 - 15.03.2022 09:00","46","N/A","50"
"15.03.2022 09:00 - 15.03.2022 10:00","69","N/A","77"
"15.03.2022 10:00 - 15.03.2022 11:00","89","N/A","101"
"15.03.2022 11:00 - 15.03.2022 12:00","101","N/A","119"
"15.03.2022 12:00 - 15.03.2022 13:00","110","N/A","131"
"15.03.2022 13:00 - 15.03.2022 14:00","105","N/A","125"
"15.03.2022 14:00 - 15.03.2022 15:00","90","N/A","102"
"15.03.2022 15:00 - 15.03.2022 16:00","64","N/A","74"
"15.03.2022 16:00 - 15.03.2022 17:00","30","N/A","37"
"15.03.2022 17:00 - 15.03.2022 18:00","5","N/A","7"
"15.03.2022 18:00 - 15.03.2022 19:00","0","N/A","0"
"15.03.2022 19:00 - 15.03.2022 20:00","0","N/A","0"
"15.03.2022 20:00 - 15.03.2022 21:00","0","N/A","0"
"15.03.2022 21:00 - 15.03.2022 22:00","0","N/A","0"
"15.03.2022 22:00 - 15.03.2022 23:00","0","N/A","0"
"15.03.2022 23:00 - 16.03.2022 00:00","0","N/A","0"
"16.03.2022 00:00 - 16.03.2022 01:00","0","N/A","0"
"16.03.2022 01:00 - 16.03.2022 02:00","0","N/A","0"
"16.03.2022 02:00 - 16.03.2022 03:00","0","N/A","0"
"16.03.2022 03:00 - 16.03.2022 04:00","0","N/A","0"
"16.03.2022 04:00 - 16.03.2022 05:00","0","N/A","0"
"16.03.2022 05:00 - 16.03.2022 06:00","0","N/A","0"
"16.03.2022 06:00 - 16.03.2022 07:00","3","N/A","3"
"16.03.2022 07:00 - 16.03.2022 08:00","22","N/A","22"
"16.03.2022 08:00 - 16.03.2022 09:00","52","N/A","47"
"16.03.2022 09:00 - 16.03.2022 10:00","74","N/A","72"
"16.03.2022 10:00 - 16.03.2022 11:00","91","N/A","95"
"16.03.2022 11:00 - 16.03.2022 12:00","106","N/A","114"
"16.03.2022 12:00 - 16.03.2022 13:00","117","N/A","120"
"16.03.2022 13:00 - 16.03.2022 14:00","115","N/A","109"
"16.03.2022 14:00 - 16.03.2022 15:00","99","N/A","91"
"16.03.2022 15:00 - 16.03.2022 16:00","73","N/A","69"
"16.03.2022 16:00 - 16.03.2022 17:00","38","N/A","38"
"16.03.2022 17:00 - 16.03.2022 18:00","7","N/A","7"
"16.03.2022 18:00 - 16.03.2022 19:00","0","N/A","0"
"16.03.2022 19:00 - 16.03.2022 20:00","0","N/A","0"
"16.03.2022 20:00 - 16.03.2022 21:00","0","N/A","0"
"16.03.2022 21:00 - 16.03.2022 22:00","0","N/A","0"
"16.03.2022 22:00 - 16.03.2022 23:00","0","N/A","0"
"16.03.2022 23:00 - 17.03.2022 00:00","0","N/A","0"
"17.03.2022 00:00 - 17.03.2022 01:00","0","N/A","0"
"17.03.2022 01:00 - 17.03.2022 02:00","0","N/A","0"
"17.03.2022 02:00 - 17.03.2022 03:00","0","N/A","0"
"17.03.2022 03:00 - 17.03.2022 04:00","0","N/A","0"
"17.03.2022 04:00 - 17.03.2022 05:00","0","N/A","0"
"17.03.2022 05:00 - 17.03.2022 06:00","0","N/A","0"
"17.03.2022 06:00 - 17.03.2022 07:00","4","N/A","5"
"17.03.2022 07:00 - 17.03.2022 08:00","31","N/A","34"
"17.03.2022 08:00 - 17.03.2022 09:00","71","N/A","77"
"17.03.2022 09:00 - 17.03.2022 10:00","104","N/A","111"
"17.03.2022 10:00 - 17.03.2022 11:00","123","N/A","136"
"17.03.2022 11:00 - 17.03.2022 12:00","135","N/A","152"
"17.03.2022 12:00 - 17.03.2022 13:00","135","N/A","153"
"17.03.2022 13:00 - 17.03.2022 14:00","122","N/A","136"
"17.03.2022 14:00 - 17.03.2022 15:00","99","N/A","109"
"17.03.2022 15:00 - 17.03.2022 16:00","70","N/A","79"
"17.03.2022 16:00 - 17.03.2022 17:00","35","N/A","38"
"17.03.2022 17:00 - 17.03.2022 18:00","7","N/A","7"
"17.03.2022 18:00 - 17.03.2022 19:00","0","N/A","0"
"17.03.2022 19:00 - 17.03.2022 20:00","0","N/A","0"
"17.03.2022 20:00 - 17.03.2022 21:00","0","N/A","0"
"17.03.2022 21:00 - 17.03.2022 22:00","0","N/A","0"
"17.03.2022 22:00 - 17.03.2022 23:00","0","N/A","0"
"17.03.2022 23:00 - 18.03.2022 00:00","0","N/A","0"
"18.03.2022 00:00 - 18.03.2022 01:00","0","N/A","0"
"18.03.2022 01:00 - 18.03.2022 02:00","0","N/A","0"
"18.03.2022 02:00 - 18.03.2022 03:00","0","N/A","0"
"18.03.2022 03:00 - 18.03.2022 04:00","0","N/A","0"
"18.03.2022 04:00 - 18.03.2022 05:00","0","N/A","0"
"18.03.2022 05:00 - 18.03.2022 06:00","0","N/A","0"
"18.03.2022 06:00 - 18.03.2022 07:00","3","N/A","3"
"18.03.2022 07:00 - 18.03.2022 08:00","23","N/A","19"
"18.03.2022 08:00 - 18.03.2022 09:00","48","N/A","44"
"18.03.2022 09:00 - 18.03.2022 10:00","63","N/A","67"
"18.03.2022 10:00 - 18.03.2022 11:00","73","N/A","84"
"18.03.2022 11:00 - 18.03.2022 12:00","86","N/A","94"
"18.03.2022 12:00 - 18.03.2022 13:00","98","N/A","94"
"18.03.2022 13:00 - 18.03.2022 14:00","95","N/A","91"
"18.03.2022 14:00 - 18.03.2022 15:00","82","N/A","80"
"18.03.2022 15:00 - 18.03.2022 16:00","65","N/A","61"
"18.03.2022 16:00 - 18.03.2022 17:00","36","N/A","31"
"18.03.2022 17:00 - 18.03.2022 18:00","7","N/A","7"
"18.03.2022 18:00 - 18.03.2022 19:00","0","N/A","0"
"18.03.2022 19:00 - 18.03.2022 20:00","0","N/A","0"
"18.03.2022 20:00 - 18.03.2022 21:00","0","N/A","0"
"18.03.2022 21:00 - 18.03.2022 22:00","0","N/A","0"
"18.03.2022 22:00 - 18.03.2022 23:00","0","N/A","0"
"18.03.2022 23:00 - 19.03.2022 00:00","0","N/A","0"
"19.03.2022 00:00 - 19.03.2022 01:00","0","N/A","0"
"19.03.2022 01:00 - 19.03.2022 02:00","0","N/A","0"
"19.03.2022 02:00 - 19.03.2022 03:00","0","N/A","0"
"19.03.2022 03:00 - 19.03.2022 04:00","0","N/A","0"
"19.03.2022 04:00 - 19.03.2022 05:00","0","N/A","0"
"19.03.2022 05:00 - 19.03.2022 06:00","0","N/A","0"
"19.03.2022 06:00 - 19.03.2022 07:00","4","N/A","5"
"19.03.2022 07:00 - 19.03.2022 08:00","25","N/A","31"
"19.03.2022 08:00 - 19.03.2022 09:00","57","N/A","68"
"19.03.2022 09:00 - 19.03.2022 10:00","83","N/A","98"
"19.03.2022 10:00 - 19.03.2022 11:00","94","N/A","114"
"19.03.2022 11:00 - 19.03.2022 12:00","95","N/A","120"
"19.03.2022 12:00 - 19.03.2022 13:00","90","N/A","114"
"19.03.2022 13:00 - 19.03.2022 14:00","78","N/A","99"
"19.03.2022 14:00 - 19.03.2022 15:00","70","N/A","83"
"19.03.2022 15:00 - 19.03.2022 16:00","54","N/A","52"
"19.03.2022 16:00 - 19.03.2022 17:00","32","N/A","26"
"19.03.2022 17:00 - 19.03.2022 18:00","7","N/A","6"
"19.03.2022 18:00 - 19.03.2022 19:00","0","N/A","0"
"19.03.2022 19:00 - 19.03.2022 20:00","0","N/A","0"
"19.03.2022 20:00 - 19.03.2022 21:00","0","N/A","0"
"19.03.2022 21:00 - 19.03.2022 22:00","0","N/A","0"
"19.03.2022 22:00 - 19.03.2022 23:00","0","N/A","0"
"19.03.2022 23:00 - 20.03.2022 00:00","0","N/A","0"
"20.03.2022 00:00 - 20.03.2022 01:00","0","N/A","0"
"20.03.2022 01:00 - 20.03.2022 02:00","0","N/A","0"
"20.03.2022 02:00 - 20.03.2022 03:00","0","N/A","0"
"20.03.2022 03:00 - 20.03.2022 04:00","0","N/A","0"
"20.03.2022 04:00 - 20.03.2022 05:00","0","N/A","0"
"20.03.2022 05:00 - 20.03.2022 06:00","0","N/A","0"
"20.03.2022 06:00 - 20.03.2022 07:00","4","N/A","5"
"20.03.2022 07:00 - 20.03.2022 08:00","26","N/A","33"
"20.03.2022 08:00 - 20.03.2022 09:00","63","N/A","71"
"20.03.2022 09:00 - 20.03.2022 10:00","91","N/A","103"
"20.03.2022 10:00 - 20.03.2022 11:00","101","N/A","126"
"20.03.2022 11:00 - 20.03.2022 12:00","106","N/A","135"
"20.03.2022 12:00 - 20.03.2022 13:00","114","N/A","124"
"20.03.2022 13:00 - 20.03.2022 14:00","112","N/A","109"
"20.03.2022 14:00 - 20.03.2022 15:00","100","N/A","97"
"20.03.2022 15:00 - 20.03.2022 16:00","70","N/A","68"
"20.03.2022 16:00 - 20.03.2022 17:00","36","N/A","35"
"20.03.2022 17:00 - 20.03.2022 18:00","8","N/A","7"
"20.03.2022 18:00 - 20.03.2022 19:00","0","N/A","0"
"20.03.2022 19:00 - 20.03.2022 20:00","0","N/A","0"
"20.03.2022 20:00 - 20.03.2022 21:00","0","N/A","0"
"20.03.2022 21:00 - 20.03.2022 22:00","0","N/A","0"
"20.03.2022 22:00 - 20.03.2022 23:00","0","N/A","0"
"20.03.2022 23:00 - 21.03.2022 00:00","0","N/A","0"
"21.03.2022 00:00 - 21.03.2022 01:00","0","N/A","0"
"21.03.2022 01:00 - 21.03.2022 02:00","0","N/A","0"
"21.03.2022 02:00 - 21.03.2022 03:00","0","N/A","0"
"21.03.2022 03:00 - 21.03.2022 04:00","0","N/A","0"
"21.03.2022 04:00 - 21.03.2022 05:00","0","N/A","0"
"21.03.2022 05:00 - 21.03.2022 06:00","0","N/A","0"
"21.03.2022 06:00 - 21.03.2022 07:00","6","N/A","6"
"21.03.2022 07:00 - 21.03.2022 08:00","34","N/A","34"
"21.03.2022 08:00 - 21.03.2022 09:00","71","N/A","71"
"21.03.2022 09:00 - 21.03.2022 10:00","104","N/A","104"
"21.03.2022 10:00 - 21.03.2022 11:00","128","N/A","129"
"21.03.2022 11:00 - 21.03.2022 12:00","145","N/A","145"
"21.03.2022 12:00 - 21.03.2022 13:00","144","N/A","144"
"21.03.2022 13:00 - 21.03.2022 14:00","127","N/A","127"
"21.03.2022 14:00 - 21.03.2022 15:00","103","N/A","104"
"21.03.2022 15:00 - 21.03.2022 16:00","70","N/A","70"
"21.03.2022 16:00 - 21.03.2022 17:00","34","N/A","34"
"21.03.2022 17:00 - 21.03.2022 18:00","7","N/A","7"
"21.03.2022 18:00 - 21.03.2022 19:00","0","N/A","0"
"21.03.2022 19:00 - 21.03.2022 20:00","0","N/A","0"
"21.03.2022 20:00 - 21.03.2022 21:00","0","N/A","0"
"21.03.2022 21:00 - 21.03.2022 22:00","0","N/A","0"
"21.03.2022 22:00 - 21.03.2022 23:00","0","N/A","0"
"21.03.2022 23:00 - 22.03.2022 00:00","0","N/A","0"
"22.03.2022 00:00 - 22.03.2022 01:00","0","N/A","0"
"22.03.2022 01:00 - 22.03.2022 02:00","0","N/A","0"
"22.03.2022 02:00 - 22.03.2022 03:00","0","N/A","0"
"22.03.2022 03:00 - 22.03.2022 04:00","0","N/A","0"
"22.03.2022 04:00 - 22.03.2022 05:00","0","N/A","0"
"22.03.2022 05:00 - 22.03.2022 06:00","0","N/A","0"
"22.03.2022 06:00 - 22.03.2022 07:00","6","N/A","6"
"22.03.2022 07:00 - 22.03.2022 08:00","34","N/A","34"
"22.03.2022 08:00 - 22.03.2022 09:00","69","N/A","70"
"22.03.2022 09:00 - 22.03.2022 10:00","103","N/A","103"
"22.03.2022 10:00 - 22.03.2022 11:00","126","N/A","127"
"22.03.2022 11:00 - 22.03.2022 12:00","142","N/A","143"
"22.03.2022 12:00 - 22.03.2022 13:00","145","N/A","146"
"22.03.2022 13:00 - 22.03.2022 14:00","127","N/A","129"
"22.03.2022 14:00 - 22.03.2022 15:00","101","N/A","102"
"22.03.2022 15:00 - 22.03.2022 16:00","68","N/A","69"
"22.03.2022 16:00 - 22.03.2022 17:00","33","N/A","33"
"22.03.2022 17:00 - 22.03.2022 18:00","7","N/A","7"
"22.03.2022 18:00 - 22.03.2022 19:00","0","N/A","0"
"22.03.2022 19:00 - 22.03.2022 20:00","0","N/A","0"
"22.03.2022 20:00 - 22.03.2022 21:00","0","N/A","0"
"22.03.2022 21:00 - 22.03.2022 22:00","0","N/A","0"
"22.03.2022 22:00 - 22.03.2022 23:00","0","N/A","0"
"22.03.2022 23:00 - 23.03.2022 00:00","0","N/A","0"
"23.03.2022 00:00 - 23.03.2022 01:00","0","N/A","0"
"23.03.2022 01:00 - 23.03.2022 02:00","0","N/A","0"
"23.03.2022 02:00 - 23.03.2022 03:00","0","N/A","0"
"23.03.2022 03:00 - 23.03.2022 04:00","0","N/A","0"
"23.03.2022 04:00 - 23.03.2022 05:00","0","N/A","0"
"23.03.2022 05:00 - 23.03.2022 06:00","0","N/A","0"
"23.03.2022 06:00 - 23.03.2022 07:00","7","N/A","7"
"23.03.2022 07:00 - 23.03.2022 08:00","34","N/A","34"
"23.03.2022 08:00 - 23.03.2022 09:00","71","N/A","71"
"23.03.2022 09:00 - 23.03.2022 10:00","107","N/A","107"
"23.03.2022 10:00 - 23.03.2022 11:00","135","N/A","135"
"23.03.2022 11:00 - 23.03.2022 12:00","151","N/A","152"
"23.03.2022 12:00 - 23.03.2022 13:00","156","N/A","157"
"23.03.2022 13:00 - 23.03.2022 14:00","143","N/A","143"
"23.03.2022 14:00 - 23.03.2022 15:00","118","N/A","118"
"23.03.2022 15:00 - 23.03.2022 16:00","81","N/A","81"
"23.03.2022 16:00 - 23.03.2022 17:00","41","N/A","41"
"23.03.2022 17:00 - 23.03.2022 18:00","10","N/A","10"
"23.03.2022 18:00 - 23.03.2022 19:00","0","N/A","0"
"23.03.2022 19:00 - 23.03.2022 20:00","0","N/A","0"
"23.03.2022 20:00 - 23.03.2022 21:00","0","N/A","0"
"23.03.2022 21:00 - 23.03.2022 22:00","0","N/A","0"
"23.03.2022 22:00 - 23.03.2022 23:00","0","N/A","0"
"23.03.2022 23:00 - 24.03.2022 00:00","0","N/A","0"
"24.03.2022 00:00 - 24.03.2022 01:00","0","N/A","0"
"24.03.2022 01:00 - 24.03.2022 02:00","0","N/A","0"
"24.03.2022 02:00 - 24.03.2022 03:00","0","N/A","0"
"24.03.2022 03:00 - 24.03.2022 04:00","0","N/A","0"
"24.03.2022 04:00 - 24.03.2022 05:00","0","N/A","0"
"24.03.2022 05:00 - 24.03.2022 06:00","0","N/A","0"
"24.03.2022 06:00 - 24.03.2022 07:00","8","N/A","8"
"24.03.2022 07:00 - 24.03.2022 08:00","39","N/A","39"
"24.03.2022 08:00 - 24.03.2022 09:00","80","N/A","81"
"24.03.2022 09:00 - 24.03.2022 10:00","119","N/A","119"
"24.03.2022 10:00 - 24.03.2022 11:00","145","N/A","145"
"24.03.2022 11:00 - 24.03.2022 12:00","161","N/A","161"
"24.03.2022 12:00 - 24.03.2022 13:00","165","N/A","165"
"24.03.2022 13:00 - 24.03.2022 14:00","151","N/A","151"
"24.03.2022 14:00 - 24.03.2022 15:00","121","N/A","122"
"24.03.2022 15:00 - 24.03.2022 16:00","84","N/A","84"
"24.03.2022 16:00 - 24.03.2022 17:00","43","N/A","43"
"24.03.2022 17:00 - 24.03.2022 18:00","11","N/A","11"
"24.03.2022 18:00 - 24.03.2022 19:00","0","N/A","0"
"24.03.2022 19:00 - 24.03.2022 20:00","0","N/A","0"
"24.03.2022 20:00 - 24.03.2022 21:00","0","N/A","0"
"24.03.2022 21:00 - 24.03.2022 22:00","0","N/A","0"
"24.03.2022 22:00 - 24.03.2022 23:00","0","N/A","0"
"24.03.2022 23:00 - 25.03.2022 00:00","0","N/A","0"
"25.03.2022 00:00 - 25.03.2022 01:00","0","N/A","0"
"25.03.2022 01:00 - 25.03.2022 02:00","0","N/A","0"
"25.03.2022 02:00 - 25.03.2022 03:00","0","N/A","23"
"25.03.2022 03:00 - 25.03.2022 04:00","0","N/A","23"
"25.03.2022 04:00 - 25.03.2022 05:00","0","N/A","23"
"25.03.2022 05:00 - 25.03.2022 06:00","0","N/A","23"
"25.03.2022 06:00 - 25.03.2022 07:00","9","N/A","35"
"25.03.2022 07:00 - 25.03.2022 08:00","42","N/A","66"
"25.03.2022 08:00 - 25.03.2022 09:00","85","N/A","97"
"25.03.2022 09:00 - 25.03.2022 10:00","122","N/A","123"
"25.03.2022 10:00 - 25.03.2022 11:00","147","N/A","148"
"25.03.2022 11:00 - 25.03.2022 12:00","162","N/A","163"
"25.03.2022 12:00 - 25.03.2022 13:00","166","N/A","167"
"25.03.2022 13:00 - 25.03.2022 14:00","153","N/A","153"
"25.03.2022 14:00 - 25.03.2022 15:00","123","N/A","125"
