"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|HU","Without sequence","113.0","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|HU","Without sequence","141.08","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|HU","Without sequence","135.53","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|HU","Without sequence","135.53","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|HU","Without sequence","120.54","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|HU","Without sequence","135.5","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|HU","Without sequence","117.0","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|HU","Without sequence","130.0","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|HU","Without sequence","180.02","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|HU","Without sequence","180.07","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|HU","Without sequence","153.44","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|HU","Without sequence","148.1","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|HU","Without sequence","135.54","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|HU","Without sequence","125.0","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|HU","Without sequence","98.9","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|HU","Without sequence","108.44","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|HU","Without sequence","96.93","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|HU","Without sequence","110.14","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|HU","Without sequence","110.21","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|HU","Without sequence","106.86","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|HU","Without sequence","104.14","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|HU","Without sequence","103.41","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|HU","Without sequence","114.5","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|HU","Without sequence","156.91","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|HU","Without sequence","226.64","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|HU","Without sequence","227.96","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|HU","Without sequence","232.7","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|HU","Without sequence","190.16","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|HU","Without sequence","182.52","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|HU","Without sequence","182.46","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|HU","Without sequence","179.59","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|HU","Without sequence","192.0","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|HU","Without sequence","201.9","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|HU","Without sequence","243.11","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|HU","Without sequence","210.26","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|HU","Without sequence","197.19","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|HU","Without sequence","180.05","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|HU","Without sequence","156.12","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|HU","Without sequence","143.14","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|HU","Without sequence","137.92","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|HU","Without sequence","99.47","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|HU","Without sequence","105.31","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|HU","Without sequence","97.29","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|HU","Without sequence","84.5","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|HU","Without sequence","75.38","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|HU","Without sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|HU","Without sequence","94.79","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|HU","Without sequence","118.04","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|HU","Without sequence","134.45","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|HU","Without sequence","154.6","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|HU","Without sequence","147.18","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|HU","Without sequence","138.56","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|HU","Without sequence","129.99","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|HU","Without sequence","131.97","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|HU","Without sequence","130.67","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|HU","Without sequence","134.6","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|HU","Without sequence","146.61","",""
