date,temperature_2m,cloud_cover,direct_normal_irradiance,date_46.08°N15.02°E,temperature_2m_46.08°N15.02°E,cloud_cover_46.08°N15.02°E,direct_normal_irradiance_46.08°N15.02°E,date_45.52°N13.70°E,temperature_2m_45.52°N13.70°E,cloud_cover_45.52°N13.70°E,direct_normal_irradiance_45.52°N13.70°E
2021-12-31 23:00:00+00:00,5.13,0.0,0.0,2021-12-31 23:00:00+00:00,5.765,70.0,0.0,2021-12-31 23:00:00+00:00,4.181,54.0,0.0
2022-01-01 00:00:00+00:00,2.7800002,8.0,0.0,2022-01-01 00:00:00+00:00,2.815,0.0,0.0,2022-01-01 00:00:00+00:00,4.331,13.0,0.0
2022-01-01 01:00:00+00:00,3.58,14.0,0.0,2022-01-01 01:00:00+00:00,4.465,25.0,0.0,2022-01-01 01:00:00+00:00,4.631,56.0,0.0
2022-01-01 02:00:00+00:00,3.63,2.0,0.0,2022-01-01 02:00:00+00:00,1.115,90.0,0.0,2022-01-01 02:00:00+00:00,3.281,38.0,0.0
2022-01-01 03:00:00+00:00,3.98,23.0,0.0,2022-01-01 03:00:00+00:00,1.2149999,62.0,0.0,2022-01-01 03:00:00+00:00,5.731,50.0,0.0
2022-01-01 04:00:00+00:00,0.22999999,75.0,0.0,2022-01-01 04:00:00+00:00,5.165,75.0,0.0,2022-01-01 04:00:00+00:00,6.6809998,95.0,0.0
2022-01-01 05:00:00+00:00,0.98,80.0,0.0,2022-01-01 05:00:00+00:00,4.415,95.0,0.0,2022-01-01 05:00:00+00:00,6.4309998,91.0,0.0
2022-01-01 06:00:00+00:00,2.83,83.0,0.0,2022-01-01 06:00:00+00:00,6.665,51.0,0.0,2022-01-01 06:00:00+00:00,6.231,93.0,0.0
2022-01-01 07:00:00+00:00,4.08,94.0,0.0,2022-01-01 07:00:00+00:00,9.665,99.0,0.0,2022-01-01 07:00:00+00:00,5.4309998,100.0,0.0
2022-01-01 08:00:00+00:00,4.58,93.0,275.81863,2022-01-01 08:00:00+00:00,7.015,100.0,176.21112,2022-01-01 08:00:00+00:00,6.131,86.0,247.36646
2022-01-01 09:00:00+00:00,6.48,96.0,541.2584,2022-01-01 09:00:00+00:00,9.515,97.0,362.30844,2022-01-01 09:00:00+00:00,8.331,81.0,452.7338
2022-01-01 10:00:00+00:00,8.13,99.0,562.1737,2022-01-01 10:00:00+00:00,10.865,94.0,619.78143,2022-01-01 10:00:00+00:00,9.231,93.0,562.26135
